site,country,referrer_domain,position,referrer_link,site_page,clicks
"https://www.righttoknow.org.au","Australia",delimiter.com.au,1,"http://www.delimiter.com.au/2016/02/17/delimiter-files-foi-request-seeking-rationale-for-nbn-sell-off/","request/foi_application_documents_inform/new",65
"https://www.righttoknow.org.au","Australia",delimiter.com.au,2,"http://www.delimiter.com.au/2016/01/06/nbn-co-rejects-foi-request-for-basic-fttn-modem-details/","/request/uni_dsl_specification_as_maintain",16
"https://www.righttoknow.org.au","Australia",delimiter.com.au,3,"http://www.delimiter.com.au/2016/02/17/delimiter-files-foi-request-seeking-rationale-for-nbn-sell-off/","/request/complaints_related_to_the_remova_3",1
"https://www.righttoknow.org.au","Australia",delimiter.com.au,4,"http://www.delimiter.com.au/2016/02/17/delimiter-files-foi-request-seeking-rationale-for-nbn-sell-off/","/request/requests_for_access_to_telecommu",1
"https://www.righttoknow.org.au","Australia",m.facebook.com,1,"n/a","/request/documents_relating_to_the_advers",40
"https://www.righttoknow.org.au","Australia",m.facebook.com,2,"n/a","/request/royal_prince_alfred_hospital_sta",28
"https://www.righttoknow.org.au","Australia",m.facebook.com,3,"n/a","/request/retired_politicians_pensions_ben",20
"https://www.righttoknow.org.au","Australia",m.facebook.com,4,"n/a","/request/documents_relating_to_the_safety",16
"https://www.righttoknow.org.au","Australia",m.facebook.com,5,"n/a","/request/documents_relating_to_the_advers_2/new",14
"https://www.righttoknow.org.au","Australia",m.facebook.com,6,"n/a","/request/documents_summarising_or_analysi",13
"https://www.righttoknow.org.au","Australia",m.facebook.com,7,"n/a","/request/documents_relating_to_the_health/new",10
"https://www.righttoknow.org.au","Australia",m.facebook.com,8,"n/a","/request/my_childs_health_record/new",9
"https://www.righttoknow.org.au","Australia",m.facebook.com,9,"n/a","/request/documents_summarising_or_analysi/new",7
"https://www.righttoknow.org.au","Australia",m.facebook.com,10,"n/a","/",4
"https://www.righttoknow.org.au","Australia",facebook.com,1,"n/a","/request/documents_relating_to_the_advers",12
"https://www.righttoknow.org.au","Australia",facebook.com,2,"n/a","/request/retired_politicians_pensions_ben",6
"https://www.righttoknow.org.au","Australia",facebook.com,3,"n/a","/request/royal_prince_alfred_hospital_sta",6
"https://www.righttoknow.org.au","Australia",facebook.com,4,"n/a","/request/documents_relating_to_the_advers_2/new",4
"https://www.righttoknow.org.au","Australia",facebook.com,5,"n/a","/request/documents_relating_to_the_safet",4
"https://www.righttoknow.org.au","Australia",facebook.com,6,"n/a","/",3
"https://www.righttoknow.org.au","Australia",facebook.com,7,"n/a","/request/documents_summarising_or_analysi",3
"https://www.righttoknow.org.au","Australia",facebook.com,8,"n/a","/request/documents_relating_to_the_advers_2/new",3
"https://www.righttoknow.org.au","Australia",facebook.com,9,"n/a","/request/documents_summarising_or_analysi/new",3
"https://www.righttoknow.org.au","Australia",facebook.com,10,"n/a","/request/principality_of_hutt_river_provi",2
"https://www.righttoknow.org.au","Australia",theguardian.com,1,"http://www.theguardian.com/australia-news/2016/feb/05/ian-macdonald-rages-against-mp-rules-i-could-employ-a-mistress-but-not-my-wife","/request/gold_pass_travel_and_employment",69
"https://www.righttoknow.org.au","Australia",theguardian.com,2,"http://www.theguardian.com/world/2016/jan/19/lamb-chop-weight-enforcers-want-warrantless-access-to-australians-metadata","/request/requests_for_access_to_telecommu/",5
"https://www.righttoknow.org.au","Australia",theguardian.com,3,"http://www.theguardian.com/australia-news/2016/feb/05/ian-macdonald-rages-against-mp-rules-i-could-employ-a-mistress-but-not-my-wife","/annotate/request/gold_pass_travel_and_employment",1
"https://www.righttoknow.org.au","Australia",theguardian.com,4,"http://www.theguardian.com/australia-news/2016/feb/05/ian-macdonald-rages-against-mp-rules-i-could-employ-a-mistress-but-not-my-wife","/request/staff_of_the_prime_ministers_off",1
"https://www.righttoknow.org.au","Australia",theguardian.com,5,"http://www.theguardian.com/technology/2016/jan/20/metadata-sought-by-agency-to-investigate-doctors-who-have-sex-with-patients","/request/requests_for_access_to_telecommu/",1
"https://www.righttoknow.org.au","Australia",twitter.com,1,"n/a","/",14
"https://www.righttoknow.org.au","Australia",twitter.com,2,"n/a","/request/sql_queries_run_for_the_inspecto?nocache=incoming-4734",11
"https://www.righttoknow.org.au","Australia",twitter.com,3,"n/a","/profile/sign_in",6
"https://www.righttoknow.org.au","Australia",twitter.com,4,"n/a","/request/applications_to_have_individuals",6
"https://www.righttoknow.org.au","Australia",twitter.com,5,"n/a","/request/australia_posts_standard_postcod/new",6
"https://www.righttoknow.org.au","Australia",twitter.com,6,"n/a","/request/documents_relating_to_the_health/new",5
"https://www.righttoknow.org.au","Australia",twitter.com,7,"n/a","/request/documents_summarising_or_analysi/new",5
"https://www.righttoknow.org.au","Australia",twitter.com,8,"n/a","/body/nbn_co_limited",4
"https://www.righttoknow.org.au","Australia",twitter.com,9,"n/a","/request/australia_posts_standard_postcod",4
"https://www.righttoknow.org.au","Australia",twitter.com,10,"n/a","/request/documents_relating_to_the_advers/new",4
"http://imamopravoznati.org","Croatia",dev.codeforcroatia.org,1,"http://dev.codeforcroatia.org/krimkarta-status/","/krimkarta-status/",28
"http://imamopravoznati.org","Croatia",dev.codeforcroatia.org,2,"http://dev.codeforcroatia.org/foie-graphs/","/",2
"http://imamopravoznati.org","Croatia",app.elev.io,1,"http://app.elev.io/preview/566fcf6b41bf7","/",14
"http://imamopravoznati.org","Croatia",app.elev.io,2,"http://app.elev.io/preview/566fcf6b41bf7","/annotate/request/karta_eksploatacijskih_polja_min",1
"http://imamopravoznati.org","Croatia",app.elev.io,3,"http://app.elev.io/preview/566fcf6b41bf7","/body/mup",1
"http://imamopravoznati.org","Croatia",app.elev.io,4,"http://app.elev.io/preview/566fcf6b41bf7","/request/broj_kaznenih_djela_prikazanih_p?nocache=outgoing-1832",1
"http://imamopravoznati.org","Croatia",app.elev.io,5,"http://app.elev.io/preview/566fcf6b41bf7","/request/broj_svih_kaznenih_djela_prikaza",1
"http://imamopravoznati.org","Croatia",app.elev.io,6,"http://app.elev.io/preview/566fcf6b41bf7",/request/clanstvo_grada_u_udrugama?nocache=incoming-1590,1
"http://imamopravoznati.org","Croatia",app.elev.io,7,"http://app.elev.io/preview/566fcf6b41bf7","/request/clanstvo_grada_u_udrugama?nocache=incoming-1601",1
"http://imamopravoznati.org","Croatia",app.elev.io,8,"http://app.elev.io/preview/566fcf6b41bf7","/request/clanstvo_grada_u_udrugama?nocache=incoming-1602",1
"http://imamopravoznati.org","Croatia",app.elev.io,9,"http://app.elev.io/preview/566fcf6b41bf7","/request/clanstvo_zupanije_u_udrugama_18?nocache=incoming-1583",1
"http://imamopravoznati.org","Croatia",facebook.com,1,"n/a","/",32
"http://imamopravoznati.org","Croatia",facebook.com,2,"n/a","/list/successful?query=državna+imovina",5
"http://imamopravoznati.org","Croatia",facebook.com,3,"n/a","/request/nalaz_inspekcijskog_nadzora",2
"http://imamopravoznati.org","Croatia",facebook.com,4,"n/a","/request/upit_o_s_statusu?nocache=incoming-1604",2
"http://imamopravoznati.org","Croatia",data.gov.hr,1,"http://data.gov.hr/apps/imamo-pravo-znati","/",15
"http://imamopravoznati.org","Croatia",data.gov.hr,2,"http://data.gov.hr/apps/imamo-pravo-znati","/request/statisticki_podaci_o_prometu_na",1
"http://imamopravoznati.org","Croatia",data.gov.hr,3,"http://data.gov.hr/apps/imamo-pravo-znati","/user/miroslav_schlossberg",1
"http://imamopravoznati.org","Croatia",open.hr,1,"n/a","/",14
"http://imamopravoznati.org","Croatia",open.hr,2,"n/a","/request/geodetsko_geoloska_studija_erozi",1
"http://imamopravoznati.org","Croatia",open.hr,3,"n/a","/request/lokacije_sanduka_za_sol_u_zagreb",1
"http://www.asktheeu.org/","EU",alaveteli.org,1,"http://alaveteli.org/deployments/","/",14
"http://www.asktheeu.org/","EU",alaveteli.org,2,"http://alaveteli.org/docs/getting_started/","/",7
"http://www.asktheeu.org/","EU",alaveteli.org,3,"http://alaveteli.org/deployments/","/en/search/Phone calls between/all?",1
"http://www.asktheeu.org/","EU",alaveteli.org,4,"http://alaveteli.org/es/docs/getting_started/","/",1
"http://www.asktheeu.org/","EU",alter-eu.org,1,"http://alter-eu.org/about/demands","/",5
"http://www.asktheeu.org/","EU",alter-eu.org,2,"http://alter-eu.org/dg-fismas-lobby-meetings-corporate-bias-and-access-for-unregistered-lobbyists","/en/search/request/requests/newest?query=request",5
"http://www.asktheeu.org/","EU",alter-eu.org,3,"http://alter-eu.org/","/",2
"http://www.asktheeu.org/","EU",alter-eu.org,4,"http://alter-eu.org/about/demands","/en/user/pau_salarich/requests",1
"http://www.asktheeu.org/","EU",alter-eu.org,5,"http://alter-eu.org/about/demands","/en/request/commissioner_canete_meeting_on_i_2?post_redirect=1",1
"http://www.asktheeu.org/","EU",alter-eu.org,6,"http://alter-eu.org/about/demands","/en/request/commissioner_canete_meeting_on_i?post_redirect=1",1
"http://www.asktheeu.org/","EU",alter-eu.org,7,"http://alter-eu.org/about/demands","/en/request/commissioner_meetings_anti_contr?nocache=incoming-8945",1
"http://www.asktheeu.org/","EU",alter-eu.org,8,"http://alter-eu.org/dg-fismas-lobby-meetings-corporate-bias-and-access-for-unregistered-lobbyists","/",1
"http://www.asktheeu.org/","EU",alter-eu.org,9,"http://alter-eu.org/dg-fismas-lobby-meetings-corporate-bias-and-access-for-unregistered-lobbyists","/en/request/list_of_meps_and_their_offices_e",1
"http://www.asktheeu.org/","EU",alter-eu.org,10,"http://alter-eu.org/dg-fismas-lobby-meetings-corporate-bias-and-access-for-unregistered-lobbyists","/en/request/meetings_between_dg_climate_acti",1
"http://www.asktheeu.org/","EU",corporateeurope.org,1,"http://corporateeurope.org/climate-and-energy/2016/01/scandal-hit-car-industry-driving-seat-new-emissions-regulations","/en/request/car_industry_lobbying_on_testing",43
"http://www.asktheeu.org/","EU",corporateeurope.org,2,"http://corporateeurope.org/international-trade/2015/08/black-out-tobaccos-access-eu-trade-talks-eerie-indication-ttip-threat","/en/request/contacts_with_the_tobacco_indust",15
"http://www.asktheeu.org/","EU",corporateeurope.org,3,"http://corporateeurope.org/international-trade/2015/08/black-out-tobaccos-access-eu-trade-talks-eerie-indication-ttip-threat","/",7
"http://www.asktheeu.org/","EU",corporateeurope.org,4,"http://corporatueeurope.org/economy-finance/2015/03/lobbying-finance-private-matter","/en/request/meetings_between_dg_markt_and_in",3
"http://www.asktheeu.org/","EU",corporateeurope.org,5,"http://corporatueeurope.org/economy-finance/2015/12/dg-fismas-lobby-meetings-corporate-bias-and-access-unregistered-lobbyists","/en/request/meetings_between_dg_trade_and_lo",3
"http://www.asktheeu.org/","EU",corporateeurope.org,6,"http://corporatueeurope.org/power-lobbies/2016/02/coalface-unregistered-lobbying","/en/request/wca_meetings",3
"http://www.asktheeu.org/","EU",corporateeurope.org,7,"http://corporatueeurope.org/economy-finance/2015/12/dg-fismas-lobby-meetings-corporate-bias-and-access-unregistered-lobbyists","/en/request/meetings_between_dg_fisma_and_lo",2
"http://www.asktheeu.org/","EU",corporateeurope.org,8,"http://corporatueeurope.org/international-trade/2015/08/black-out-tobaccos-access-eu-trade-talks-eerie-indication-ttip-threat","/en/request/exchanges_between_geoghegan_quin",2
"http://www.asktheeu.org/","EU",corporateeurope.org,9,"http://corporatueeurope.org/trade/2013/09/european-commission-preparing-eu-us-trade-talks-119-meetings-industry-lobbyists","/en/request/dg_trade_contacts_with_industry",2
"http://www.asktheeu.org/","EU",corporateeurope.org,10,"http://corporatueeurope.org/fr/international-trade/2015/08/ttip-tafta-ou-la-d-sillusion-des-pme","/en/request/meeting_between_commissioner_mal_4",1
"http://www.asktheeu.org/","EU",politico.eu,1,"http://www.politico.eu/article/fundamental-rights-agency-under-fire-for-hiring-ex-judge-civil-service-tribunal-haris-tagaras/","/",45
"http://www.asktheeu.org/","EU",politico.eu,2,"http://www.politico.eu/pro/newsletter/brussels-influence/politico-brussels-influence-irish-lobbying-lonely-whistle-blowers-clintons-dutch-conquest/","/",4
"http://www.asktheeu.org/","EU",politico.eu,3,"http://www.politico.eu/article/fundamental-rights-agency-under-fire-for-hiring-ex-judge-civil-service-tribunal-haris-tagaras/","/en/list/all",3
"http://www.asktheeu.org/","EU",politico.eu,4,"http://www.politico.eu/article/fundamental-rights-agency-under-fire-for-hiring-ex-judge-civil-service-tribunal-haris-tagaras/","/en/request/tender_file_for_provision_of_leg",3
"http://www.asktheeu.org/","EU",politico.eu,5,"http://www.politico.eu/article/fundamental-rights-agency-under-fire-for-hiring-ex-judge-civil-service-tribunal-haris-tagaras/","/en/request/whistleblower_committee_of_the_r?nocache=incoming-9001",2
"http://www.asktheeu.org/","EU",politico.eu,6,"http://www.politico.eu/","/en/request/correspondence_of_martin_selmayr?nocache=incoming-8744](/en/request/correspondence_of_martin_selmayr?nocache=incoming-8744",1
"http://www.asktheeu.org/","EU",politico.eu,7,"http://www.politico.eu/article/fundamental-rights-agency-under-fire-for-hiring-ex-judge-civil-service-tribunal-haris-tagaras/","/en/request/2012_correspondence_regarding_th?nocache=incoming-8743",1
"http://www.asktheeu.org/","EU",politico.eu,8,"http://www.politico.eu/article/fundamental-rights-agency-under-fire-for-hiring-ex-judge-civil-service-tribunal-haris-tagaras/","/en/request/2012_correspondence_regarding_th?post_redirect=1",1
"http://www.asktheeu.org/","EU",politico.eu,9,"http://www.asktheeu.org/en/request/2489/response/8773?post_redirect=1","/en/request/2489/response/8773?post_redirect=1",1
"http://www.asktheeu.org/","EU",politico.eu,10,"http://www.politico.eu/article/fundamental-rights-agency-under-fire-for-hiring-ex-judge-civil-service-tribunal-haris-tagaras/","/en/request/correspondence_cor_to_budgets_co?nocache=incoming-8956",1
"http://www.asktheeu.org/","EU",twitter.com,1,"n/a","/",46
"http://www.asktheeu.org/","EU",twitter.com,2,"n/a","/en/request/evidence_for_the_need_to_excempt",6
"http://www.asktheeu.org/","EU",twitter.com,3,"n/a","/en/request/commissioner_meetings_anti_contr",5
"http://www.asktheeu.org/","EU",twitter.com,4,"n/a","/fr/request/eu_internet_forum_launch",3
"http://www.asktheeu.org/","EU",twitter.com,5,"n/a","/en/request/ep_round_table_on_eu_funding_for?nocache=incoming-8859",2
"http://www.asktheeu.org/","EU",twitter.com,6,"n/a","/en/request/visit_of_meps_pittella_and_kyeng",2
"http://www.asktheeu.org/","EU",twitter.com,7,"n/a","/request/frontex_report_about_data_of_ref/new",2
"http://www.asktheeu.org/","EU",twitter.com,8,"n/a","/de",1
"http://www.asktheeu.org/","EU",twitter.com,9,"n/a","/en",1
"http://www.asktheeu.org/","EU",twitter.com,10,"n/a","/en/request/complaints_when_public_access_to?nocache=outgoing-5438",1
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,1,"https://atlatszo.hu/","/list/all",43
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,2,"https://atlatszo.hu/","/",22
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,3,"https://atlatszo.hu/","/body/list/all",7
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,4,"https://atlatszo.hu/","/request/hallgato_szenatorok_2",2
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,5,"https://atlatszo.hu/","/request/nyomozas_koltsegei?nocache=incoming-9414",2
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,6,"https://atlatszo.hu/2015/11/24/krakkoban-a-bekemenettel-beepultem-a-cof-be-i-resz/","/list/all",2
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,7,"https://atlatszo.hu/","/request/corvinus_hok_kifizetesek_2010",1
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,8,"https://atlatszo.hu/","/request/diplomata_utlevelek_2?nocache=incoming-9515",1
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,9,"https://atlatszo.hu/","/request/felhasznalasi_szerzodesek",1
"http://kimittud.atlatszo.hu","Hungary",atlatszo.hu,10,"https://atlatszo.hu","/request/felujitasi_tervek?post_redirect=1",1
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,1,"n/a","/request/minimum-feltetelek-teljesulese-a",97
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,2,"n/a","/request/nagy_erdeklodesre_szamot_tarto_a/new",35
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,3,"n/a","/",9
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,4,"n/a","/request/bgf_bge_hok_osztondijak",8
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,5,"n/a","/request/nakhu",6
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,6,"n/a","/request/vedooltas_adasaval_osszefuggesbe_2",6
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,7,"n/a","/request/vedooltas_adasaval_osszefuggesbe",5
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,8,"n/a","/request/vedooltas_adasaval_osszefuggesbe_3/new",5
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,9,"n/a","/request/abri_ferenc_lleni_vizsgalatrol",4
"http://kimittud.atlatszo.hu","Hungary",m.facebook.com,10,"n/a","/user/erdosi_eszter",4
"http://kimittud.atlatszo.hu","Hungary",facebook.com,1,"n/a","/request/minimum-feltetelek-teljesulese-a",118
"http://kimittud.atlatszo.hu","Hungary",facebook.com,2,"n/a","/",98
"http://kimittud.atlatszo.hu","Hungary",facebook.com,3,"n/a","/request/vedooltas_adasaval_osszefuggesbe_2",67
"http://kimittud.atlatszo.hu","Hungary",facebook.com,4,"n/a","/request/nagy_erdeklodesre_szamot_tarto_a/new",58
"http://kimittud.atlatszo.hu","Hungary",facebook.com,5,"n/a","/request/vedooltas_adasaval_osszefuggesbe",27
"http://kimittud.atlatszo.hu","Hungary",facebook.com,6,"n/a","/request/axa-bank-europe-sa-magyarorszagi",21
"http://kimittud.atlatszo.hu","Hungary",facebook.com,7,"n/a","/request/nakhu",15
"http://kimittud.atlatszo.hu","Hungary",facebook.com,8,"n/a","/request/vedooltas_adasaval_osszefuggesbe_3/new",15
"http://kimittud.atlatszo.hu","Hungary",facebook.com,9,"n/a","/request/horthy_vonatat_ujitana_fel_balog/",10
"http://kimittud.atlatszo.hu","Hungary",facebook.com,10,"n/a","/request/abri_ferenc_lleni_vizsgalatro",9
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,1,"n/a","/request/a-nemzeti-ado-es-vamhivatal-veze",9
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,2,"n/a","/request/ingyenes-idosek-otthona",7
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,3,"n/a","/",6
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,4,"n/a","/request/mogyorosi_attila_klik_igazgato_2_8",6
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,5,"n/a","/request/mvh-engy-epitesi-normagyujtemeny",6
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,6,"n/a","/request/kozerdeku_adatigenyles_knpa_tamo?nocache=incoming-9560",5
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,7,"n/a","/request/a_foldarveresek_nyerteseinek_nev",4
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,8,"n/a","/request/kozerdeku_adatigenyles_erdoreszl_2?nocache=incoming-9548",4
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,9,"n/a","/request/maganszemelyek-kommunalis-adoja",4
"http://kimittud.atlatszo.hu","Hungary",kereso.startlap.hu,10,"n/a","/request/szocialis-berlakasok-es-egyeb-on_2_3_4_5",4
"https://www.whatdotheyknow.com","UK",duckduckgo.com,1,"n/a","/",82
"https://www.whatdotheyknow.com","UK",duckduckgo.com,2,"n/a","/request/no_checks_made_before_issuing_co_65",16
"https://www.whatdotheyknow.com","UK",duckduckgo.com,3,"n/a","/request/birth_certificate_bond",14
"https://www.whatdotheyknow.com","UK",duckduckgo.com,4,"n/a","/request/magistrates_court",11
"https://www.whatdotheyknow.com","UK",duckduckgo.com,5,"n/a","/request/map_coordinates_for_all_mobile_p",11
"https://www.whatdotheyknow.com","UK",duckduckgo.com,6,"n/a","/request/did_gulf_war_1_vaccines_contain",8
"https://www.whatdotheyknow.com","UK",duckduckgo.com,7,"n/a","/request/removal_from_electoral_roll",8
"https://www.whatdotheyknow.com","UK",duckduckgo.com,8,"n/a","/body/crown_commercial_service",5
"https://www.whatdotheyknow.com","UK",duckduckgo.com,9,"n/a","/request/es674_holiday_form",5
"https://www.whatdotheyknow.com","UK",duckduckgo.com,10,"n/a","/request/freedom_of_information_logo",5
"https://www.whatdotheyknow.com","UK",m.facebook.com,1,"n/a","/request/do_i_have_to_pay_council_tax",603
"https://www.whatdotheyknow.com","UK",m.facebook.com,2,"n/a","/request/cfsme_guidelines_for_the_disabil_2",274
"https://www.whatdotheyknow.com","UK",m.facebook.com,3,"n/a","/request/minutes_and_details_of_escalatio_3",274
"https://www.whatdotheyknow.com","UK",m.facebook.com,4,"n/a","/request/evidence_used_by_chief_supt_newt",252
"https://www.whatdotheyknow.com","UK",m.facebook.com,5,"n/a","/request/current_number_of_nursery_nurses/new",244
"https://www.whatdotheyknow.com","UK",m.facebook.com,6,"n/a","/request/which_law_states_humans_can_be_t",197
"https://www.whatdotheyknow.com","UK",m.facebook.com,7,"n/a","/request/lyme_disease_testing_at_ripl/new",137
"https://www.whatdotheyknow.com","UK",m.facebook.com,8,"n/a","/request/change_of_city_name_from_lisburn",121
"https://www.whatdotheyknow.com","UK",m.facebook.com,9,"n/a","/request/how_much_dla_did_david_cameron_r",121
"https://www.whatdotheyknow.com","UK",m.facebook.com,10,"n/a","/request/benefit_entitlements_for_immigra",115
"https://www.whatdotheyknow.com","UK",facebook.com,1,"n/a","/request/do_i_have_to_pay_council_tax",255
"https://www.whatdotheyknow.com","UK",facebook.com,2,"n/a","/",206
"https://www.whatdotheyknow.com","UK",facebook.com,3,"n/a","/request/lyme_disease_testing_at_ripl/new",118
"https://www.whatdotheyknow.com","UK",facebook.com,4,"n/a","/request/cfsme_guidelines_for_the_disabil_2",112
"https://www.whatdotheyknow.com","UK",facebook.com,5,"n/a","/request/which_law_states_humans_can_be_t",112
"https://www.whatdotheyknow.com","UK",facebook.com,6,"n/a","/request/number_of_children_re_diagnosed",63
"https://www.whatdotheyknow.com","UK",facebook.com,7,"n/a","/request/tom_crawford_illegal_eviction_su",52
"https://www.whatdotheyknow.com","UK",facebook.com,8,"n/a","/request/minutes_and_details_of_escalatio_3",49
"https://www.whatdotheyknow.com","UK",facebook.com,9,"n/a","/request/benefit_entitlements_for_immigra",47
"https://www.whatdotheyknow.com","UK",facebook.com,10,"n/a","/request/evidence_used_by_chief_supt_newt",41
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,1,"n/a","/request/hmrc_vacancies_surplus_staff_civ",137
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,2,"n/a","/request/undergraduate_law_statistics",121
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,3,"n/a","/request/mmi_interviews_for_dentistry",69
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,4,"n/a","/request/graduate_medicine_admissions_sta",63
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,5,"n/a","/request/barts_and_the_london_a100_admiss",55
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,6,"n/a","/request/aeronautical_engineering_intervi",47
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,7,"n/a","/request/20122013_medicine_cycle_summary",44
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,8,"n/a","/request/bsms_a100_interview_statistics_f",44
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,9,"n/a","/search/graduate entry medicine",44
"https://www.whatdotheyknow.com","UK",thestudentroom.co.uk,10,"n/a","/request/mecheng_application_statistics",36
"https://www.whatdotheyknow.com","UK",twitter.com,1,"n/a","/",263
"https://www.whatdotheyknow.com","UK",twitter.com,2,"n/a","/request/did_gcc_approach_celtic_to_buy_l",203
"https://www.whatdotheyknow.com","UK",twitter.com,3,"n/a","/request/automatic_state_pension_forecast",140
"https://www.whatdotheyknow.com","UK",twitter.com,4,"n/a","/request/evolve_coaching_programme",104
"https://www.whatdotheyknow.com","UK",twitter.com,5,"n/a","/request/expected_hours",93
"https://www.whatdotheyknow.com","UK",twitter.com,6,"n/a","/request/available_amateur_radio_call_sig",77
"https://www.whatdotheyknow.com","UK",twitter.com,7,"n/a","/request/child_brothels",77
"https://www.whatdotheyknow.com","UK",twitter.com,8,"n/a","/body/wirral_borough_council",69
"https://www.whatdotheyknow.com","UK",twitter.com,9,"n/a","/request/invoices_from_bristol_2015_ltd_t/new",69
"https://www.whatdotheyknow.com","UK",twitter.com,10,"n/a","/request/meetings_with_the_oyston_family",63
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,1,"n/a","/",27
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,2,"n/a","/body/hm_passport_office",8
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,3,"n/a","/request/customer_compliance_department",8
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,4,"n/a","/request/location_of_every_post_box_that",8
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,5,"n/a","/request/map_coordinates_for_all_mobile_p",8
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,6,"n/a","/body/dwp",5
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,7,"n/a","/body/hmcts",5
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,8,"n/a","/body/sra",5
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,9,"n/a","/body/staffordshire_police",5
"https://www.whatdotheyknow.com","UK",uk.yahoo.com,10,"n/a","/request/a3_guildford_bypass_plans",5
